participant_id,ciljana_grupa,ai_tool,knowledge_level,usage_frequency,purpose,effectiveness_rating,tool_category
P037246EA,prosveta,DeepL,,unknown,Kreiranje prezentacija,,other
P037246EA,prosveta,DeepL,,unknown,Brainstorming ideja,,other
P00160BCD,medicina,Bing Chat,,unknown,Kreiranje slika,,other
P00160BCD,medicina,Bing Chat,,unknown,Pisanje teksta (eseja,,other
P00160BCD,medicina,Bing Chat,,unknown,mejlova,,other
P00160BCD,medicina,Bing Chat,,unknown,bloga),,other
P00160BCD,medicina,ChatGPT,,unknown,Kreiranje slika,,conversational_ai
P00160BCD,medicina,ChatGPT,,unknown,Pisanje teksta (eseja,,conversational_ai
P00160BCD,medicina,ChatGPT,,unknown,mejlova,,conversational_ai
P00160BCD,medicina,ChatGPT,,unknown,bloga),,conversational_ai
P00160BCD,medicina,DeepL,,unknown,Kreiranje slika,,other
P00160BCD,medicina,DeepL,,unknown,Pisanje teksta (eseja,,other
P00160BCD,medicina,DeepL,,unknown,mejlova,,other
P00160BCD,medicina,DeepL,,unknown,bloga),,other
P00160BCD,medicina,GitHub Copilot,,unknown,Kreiranje slika,,code_assistant
P00160BCD,medicina,GitHub Copilot,,unknown,Pisanje teksta (eseja,,code_assistant
P00160BCD,medicina,GitHub Copilot,,unknown,mejlova,,code_assistant
P00160BCD,medicina,GitHub Copilot,,unknown,bloga),,code_assistant
P00160BCD,medicina,Midjourney,,unknown,Kreiranje slika,,other
P00160BCD,medicina,Midjourney,,unknown,Pisanje teksta (eseja,,other
P00160BCD,medicina,Midjourney,,unknown,mejlova,,other
P00160BCD,medicina,Midjourney,,unknown,bloga),,other
P01BF6F82,kreativna_filmska,Midjourney,,unknown,Brainstorming ideja,,other
P01BF6F82,kreativna_filmska,Midjourney,,unknown,Analiza podataka,,other
P01BF6F82,kreativna_filmska,ChatGPT,,unknown,Brainstorming ideja,,conversational_ai
P01BF6F82,kreativna_filmska,ChatGPT,,unknown,Analiza podataka,,conversational_ai
P01BF6F82,kreativna_filmska,Grammarly,,unknown,Brainstorming ideja,,other
P01BF6F82,kreativna_filmska,Grammarly,,unknown,Analiza podataka,,other
P01BF6F82,kreativna_filmska,Bing Chat,,unknown,Brainstorming ideja,,other
P01BF6F82,kreativna_filmska,Bing Chat,,unknown,Analiza podataka,,other
P03F943CC,medicina,DALL-E,,unknown,Brainstorming ideja,,other
P03F943CC,medicina,DALL-E,,unknown,Kreiranje slika,,other
P03F943CC,medicina,DALL-E,,unknown,Analiza podataka,,other
P03F943CC,medicina,DALL-E,,unknown,Pisanje koda,,other
P03F943CC,medicina,Midjourney,,unknown,Brainstorming ideja,,other
P03F943CC,medicina,Midjourney,,unknown,Kreiranje slika,,other
P03F943CC,medicina,Midjourney,,unknown,Analiza podataka,,other
P03F943CC,medicina,Midjourney,,unknown,Pisanje koda,,other
P03F943CC,medicina,Grammarly,,unknown,Brainstorming ideja,,other
P03F943CC,medicina,Grammarly,,unknown,Kreiranje slika,,other
P03F943CC,medicina,Grammarly,,unknown,Analiza podataka,,other
P03F943CC,medicina,Grammarly,,unknown,Pisanje koda,,other
P04589808,prosveta,ChatGPT,,unknown,Učenje novih koncepata,,conversational_ai
P04589808,prosveta,Bing Chat,,unknown,Učenje novih koncepata,,other
P04589808,prosveta,Claude,,unknown,Učenje novih koncepata,,conversational_ai
P04589808,prosveta,DeepL,,unknown,Učenje novih koncepata,,other
P04589808,prosveta,Midjourney,,unknown,Učenje novih koncepata,,other
P0136B831,kreativna_filmska,DALL-E,,unknown,Pisanje koda,,other
P0136B831,kreativna_filmska,DALL-E,,unknown,Brainstorming ideja,,other
P0136B831,kreativna_filmska,DALL-E,,unknown,Prevođenje jezika,,other
P0136B831,kreativna_filmska,Claude,,unknown,Pisanje koda,,conversational_ai
P0136B831,kreativna_filmska,Claude,,unknown,Brainstorming ideja,,conversational_ai
P0136B831,kreativna_filmska,Claude,,unknown,Prevođenje jezika,,conversational_ai
P015F4F19,prosveta,Bing Chat,,unknown,Brainstorming ideja,,other
P015F4F19,prosveta,Bing Chat,,unknown,Kreiranje prezentacija,,other
P015F4F19,prosveta,Bing Chat,,unknown,Analiza podataka,,other
P015F4F19,prosveta,Gemini,,unknown,Brainstorming ideja,,conversational_ai
P015F4F19,prosveta,Gemini,,unknown,Kreiranje prezentacija,,conversational_ai
P015F4F19,prosveta,Gemini,,unknown,Analiza podataka,,conversational_ai
P015F4F19,prosveta,DALL-E,,unknown,Brainstorming ideja,,other
P015F4F19,prosveta,DALL-E,,unknown,Kreiranje prezentacija,,other
P015F4F19,prosveta,DALL-E,,unknown,Analiza podataka,,other
P01BF6F82,kreativna_filmska,Bing Chat,,unknown,Pisanje koda,,other
P01BF6F82,kreativna_filmska,Bing Chat,,unknown,Pisanje teksta (eseja,,other
P01BF6F82,kreativna_filmska,Bing Chat,,unknown,mejlova,,other
P01BF6F82,kreativna_filmska,Bing Chat,,unknown,bloga),,other
P01BF6F82,kreativna_filmska,Bing Chat,,unknown,Kreiranje slika,,other
P01BF6F82,kreativna_filmska,Bing Chat,,unknown,Analiza podataka,,other
P01BF6F82,kreativna_filmska,GitHub Copilot,,unknown,Pisanje koda,,code_assistant
P01BF6F82,kreativna_filmska,GitHub Copilot,,unknown,Pisanje teksta (eseja,,code_assistant
P01BF6F82,kreativna_filmska,GitHub Copilot,,unknown,mejlova,,code_assistant
P01BF6F82,kreativna_filmska,GitHub Copilot,,unknown,bloga),,code_assistant
P01BF6F82,kreativna_filmska,GitHub Copilot,,unknown,Kreiranje slika,,code_assistant
P01BF6F82,kreativna_filmska,GitHub Copilot,,unknown,Analiza podataka,,code_assistant
P01BF6F82,kreativna_filmska,Grammarly,,unknown,Pisanje koda,,other
P01BF6F82,kreativna_filmska,Grammarly,,unknown,Pisanje teksta (eseja,,other
P01BF6F82,kreativna_filmska,Grammarly,,unknown,mejlova,,other
P01BF6F82,kreativna_filmska,Grammarly,,unknown,bloga),,other
P01BF6F82,kreativna_filmska,Grammarly,,unknown,Kreiranje slika,,other
P01BF6F82,kreativna_filmska,Grammarly,,unknown,Analiza podataka,,other
P01BF6F82,kreativna_filmska,Claude,,unknown,Pisanje koda,,conversational_ai
P01BF6F82,kreativna_filmska,Claude,,unknown,Pisanje teksta (eseja,,conversational_ai
P01BF6F82,kreativna_filmska,Claude,,unknown,mejlova,,conversational_ai
P01BF6F82,kreativna_filmska,Claude,,unknown,bloga),,conversational_ai
P01BF6F82,kreativna_filmska,Claude,,unknown,Kreiranje slika,,conversational_ai
P01BF6F82,kreativna_filmska,Claude,,unknown,Analiza podataka,,conversational_ai
P01BF6F82,kreativna_filmska,DeepL,,unknown,Pisanje koda,,other
P01BF6F82,kreativna_filmska,DeepL,,unknown,Pisanje teksta (eseja,,other
P01BF6F82,kreativna_filmska,DeepL,,unknown,mejlova,,other
P01BF6F82,kreativna_filmska,DeepL,,unknown,bloga),,other
P01BF6F82,kreativna_filmska,DeepL,,unknown,Kreiranje slika,,other
P01BF6F82,kreativna_filmska,DeepL,,unknown,Analiza podataka,,other
P01BF6F82,prosveta,DeepL,,unknown,Kreiranje prezentacija,,other
P01BF6F82,prosveta,DeepL,,unknown,Učenje novih koncepata,,other
P01BF6F82,prosveta,DeepL,,unknown,Analiza podataka,,other
